Descripción,Unidad,Costo
"Luminaria LED de calle SL-SM de 94 W, 10,200 lm, 120/227V, código 221569",pieza,"$6,229.91"
"Luminario Europea Led de 105 W, modelo LP010, carcaza de aluminio inyectado",pieza,"$9,829.00"
"Luminario LED industrial y comercial, carcasa de aluminio, modelo 217011 de 160 W",pieza,"$9,608.81"
Madera de pino (cimbra) de 1 cara de 15 mm x 1.22 m x 2.44 m,hoja,$547.07
"Madera de pino de 3a de 3/4"" (19mm) x 12"" (30 cm) x 8-1/4' (2.50m)",pt,$21.21
"Malla electrosoldada de 6x6-10/10, de 2.5x40 m, modelo 604",m²,$15.00
"Malla esquinera recta de 4""(100 mm) x 2.40 m",pieza,$55.66
Malla unión Termofon,pieza,$22.84
"Manguera de succión para agua y lodo de 75 mm (3"") código MAS-ES076, tramo de 30 m",pieza,"$5,651.49"
"Marco con tapa AP de 50 x 50 cm, de 80 kg",pieza,"$1,728.43"
"Membrana de refuerzo para sistemas impermeables asfálticos base agua y base solvente Festerflex, de 10 x 1.10 m",m,$9.67
Moldura de poliestireno tipo pecho paloma de 10 x 10 cm No. 1,m,$37.21
"Mortero expansivo Sika Grout, saco de 30 kg",pieza,$560.99
Panel CONTEC AAC-4 78 kg/cm2 (para Vivienda),m³,"$3,874.03"
Panel CONTEC AAC-4 98 kg/cm2 (para Vivienda),m³,"$3,911.72"
Panel de yeso regular de 1.22 x 2.44m (4' x 8') de 12.7 mm de espesor,pieza,$106.00
"Panel estructural Covintec Premium de 3"" x 1.22 x 2.44 m",pieza,$475.63
"Panel estructural de 3"" de 1.22 x 2.44 m, alambre Cal. 14",pieza,$456.90
"Panel semi-estructural de 2"" de 1.22 x 2.44 m, alambre Cal. 14",pieza,$300.00
Perfil principal T de 3.66 m,pieza,"$2,515.33"
Perfil secundario T de 0.61 m,pieza,$947.77
Perfil secundario T de 1.22 m,pieza,"$1,809.58"
"Perfiles de fierro tubular de lámina 1/2""x1""",kg,$26.15
Piedra braza,m³,$562.33
"Piedra de mármol (marmolina) blanco cero grueso, bolsa de 50 kg",kg,$1.79
"Pija para madera con aristas #10 x 1 1/2"", punta 17 phillips negra, modelo PMA10038",pieza,$0.41
"Pija para tablaroca cuerda fina de #6 X 1 5/8"", phillips negra, modelo PT06041",millar,$215.52
"Pintura anticorrosiva Comex 100 Primario®, cubeta de 19 litros",l,$97.14
"Pintura esmalte alquidálica anticorrosiva base agua, Acqua 100 Max®, cubeta de 19 litros",l,$124.05
"Pintura para señalamiento de tránsito Vía Color®, cubeta de 19 litros",l,$131.19
"Pintura vinil acrílica satinada base agua Vinimex®, bote de 19 litros.",l,$102.09
"Placa de acero A-36 de 1/4"" de 11 x 5 cm",pieza,$16.37
"Placa de acero A-36 de 1/4"" de 9 x 5 cm",pieza,$16.37
"Plaka plafón Antaris LS de 61 x 61 cm, resistente al fuego, caja con 14 piezas",caja,"$1,722.15"
"Plato quiebra chorro con bola de contra peso y codo cespol, de fierro fundido",juego,$957.90
