Clave,Descripción,Unidad,Precio,Familia
FRIG-01,Casetón de poliestireno expandido de baja densidad marca Frigocel.,pza,855.6,VIGUETA Y BOVEDILLA
FRIG-03,Casetón de poliestireno expandido de baja densidad 40 x 40 x 30 cms marca Frigocel.,pza,21.696,VIGUETA Y BOVEDILLA
FRIG-05,Casetón de poliestireno expandido de baja densidad 60 x 60 x 30 cms marca Frigocel.,pza,48.816,VIGUETA Y BOVEDILLA
AGLU-001,"Cemento blanco Tolteca, presentación en saco de 50 kg.",ton,9310,AGLUTINANTES
DIMA-100,"Cemento blanco Apasco, presentación en saco de 50 kg.",sac,465.5,AGLUTINANTES
AGLU-002,"Cemento gris normal Tolteca, presentación en saco de 50 kg.",ton,4750,AGLUTINANTES
DIMA-099,"Cemento gris Apasco, presentación en saco de 50 kg.",sac,237.5,AGLUTINANTES
AGLU-005,"Mortero Tolteca, presentación en saco de 50 kg.",ton,4256,AGLUTINANTES
CMC-39550,"Mortero Cruz azul, presentación en saco de 50 kg.",ton,4256,AGLUTINANTES
AGLU-003,Yeso amarrado.,ton,2774,AGLUTINANTES
CMC-21670,"Boquicrest ultra adobe, presentación en saco de 10 kg, Crest.",sac,137.98,AGLUTINANTES
CMC-21672,"Boquicrest ultra azul místico, presentación en saco de 10 kg, Crest.",sac,137.98,AGLUTINANTES
AGLU-007,Boquilla o junta piso presentación en saco de 10 kg.,sac,66.2413793103448,AGLUTINANTES
CMC-21687,"Juntacrest blanco, presentación en saco de 5 kg marca Crest.",sac,147.49,AGLUTINANTES
AGLU-TEMP,Pegazulejo blanco saco de 20 kg marca Crest.,sac,113,AGLUTINANTES
CMC-21708,"Epoxy Crest blanco Himalaya, Crest.",cb,1158.0353,AGLUTINANTES
PASA-211,"Grouts tipo epoxi resanador mortero epóxico resanador 3 componentes, presentación en saco de 4 kg.",sac,609.07,AGLUTINANTES
PASA-291,"Recubrimiento superficies deportivas, protecto mezcla como aglutinante en canchas deportivas, tambo de 200 lt.",tmb,5136.98,AGLUTINANTES
