Clave Cuadrilla,Descripción Cuadrilla,Sección,Descripción,Unidad,Cantidad
00-M0029,Cuadrilla 29 (Operador de tractor + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0030,Cuadrilla 30 (Auxiliar de topógrafo + 2 Cadeneros),MANO DE OBRA,Auxiliar topógrafo,jor,1.000000
00-M0030,Cuadrilla 30 (Auxiliar de topógrafo + 2 Cadeneros),MANO DE OBRA,Cadenero,jor,2.000000
00-M0030,Cuadrilla 30 (Auxiliar de topógrafo + 2 Cadeneros),MANO DE OBRA,Cabo de oficios,jor,0.150000
00-M0030,Cuadrilla 30 (Auxiliar de topógrafo + 2 Cadeneros),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0030,Cuadrilla 30 (Auxiliar de topógrafo + 2 Cadeneros),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0031,Cuadrilla 31 (Oficial vidriero + ayudante),MANO DE OBRA,Oficial vidriero,jor,1.000000
00-M0031,Cuadrilla 31 (Oficial vidriero + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0031,Cuadrilla 31 (Oficial vidriero + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0031,Cuadrilla 31 (Oficial vidriero + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0031,Cuadrilla 31 (Oficial vidriero + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0032,Cuadrilla 32 (Oficial albañil + 6 ayudantes),MANO DE OBRA,Oficial albañil,jor,1.000000
00-M0032,Cuadrilla 32 (Oficial albañil + 6 ayudantes),MANO DE OBRA,Ayudante oficial,jor,6.000000
00-M0032,Cuadrilla 32 (Oficial albañil + 6 ayudantes),MANO DE OBRA,Cabo de oficios,jor,0.350000
00-M0032,Cuadrilla 32 (Oficial albañil + 6 ayudantes),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0032,Cuadrilla 32 (Oficial albañil + 6 ayudantes),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0033,Cuadrilla 33 (Aluminero + ayudante),MANO DE OBRA,Aluminero,jor,1.000000
00-M0033,Cuadrilla 33 (Aluminero + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0033,Cuadrilla 33 (Aluminero + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0033,Cuadrilla 33 (Aluminero + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0033,Cuadrilla 33 (Aluminero + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0034,Cuadrilla 34 (Colocador + ayudante),MANO DE OBRA,Oficial colocador,jor,1.000000
00-M0034,Cuadrilla 34 (Colocador + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0034,Cuadrilla 34 (Colocador + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0034,Cuadrilla 34 (Colocador + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0034,Cuadrilla 34 (Colocador + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
