Descripción,Costo
"Tubo de concreto reforzado de 45 cm (18"") con junta hermética, unión espiga-campana, grado 1",$777.93
"Tubo de concreto reforzado de 61 cm (24"") con junta hermética, unión espiga-campana, grado 1","$1,280.21"
"Tubo de concreto reforzado de 76 cm (30"") con junta hermética, unión espiga-campana, grado 1","$1,868.25"
"Tubo de concreto reforzado de 91 cm (36"") con junta hermética, unión espiga-campana, grado 1","$2,456.29"
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1",$116.38
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1 Tubo de concreto simple de 20 cm (8"") con junta hermética, grado 1",$116.38
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",$177.64
,$238.89
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",$238.89
"Tubo de concreto simple de 30 cm (12"") con junta hermética, grado 1",$232.76
"Tubo de concreto simple de 38 cm (15"") con junta hermética, grado 1",$514.54
"Tubo de concreto simple de 45 cm (18"") con junta hermética, grado 1",$606.41
"Tubo de concreto simple de 61 cm (24"") con junta hermética, grado 1","$1,103.73"
"Tubo de concreto simple de 8"" (200 mm)",$467.51
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 100 mm (4"") de 6m",$121.47
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 150 mm (6"") de 6m",$264.20
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 200 mm (8"") de 6m",$445.00
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 51 mm (2"") de 6m",$33.49
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 64 mm (2 1/2"") de 6m",$49.41
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 75 mm (3"") de 6m",$73.03
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 114.3 mm (4"") tramo de 6",$163.03
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 73 mm (2 1/2"") tramo de 6",$69.98
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 88.9 mm (3"") tramo de 6",$99.86
